ym,n_uni,turnover,top10,bot10,uni_ew,spx,top10_net
2009-02,129,1.0,-0.1303294141546012,-0.09226924035855866,-0.12428382910153243,-0.10993119762019954,-0.1323294141546012
2009-03,277,0.4,0.10295796493322247,0.13113659638562503,0.11285088695187857,0.08540446199532203,0.10215796493322248
2009-04,296,0.1,0.15840866293203376,0.06474599838617186,0.19822163935507167,0.09392507914826331,0.15820866293203376
2009-05,288,0.5,-0.015176383654871551,0.05581302981832629,0.06412220278992498,0.05308144638516654,-0.016176383654871552
2009-06,294,0.4,0.013508774272473878,-0.021532982694046097,-0.006210190894009041,0.00019582726560951613,0.012708774272473878
2009-07,298,0.1,0.10151434030490644,0.11266183328038448,0.09917402955422487,0.07414172714778444,0.10131434030490644
2009-08,293,0.6,0.04518659767188367,0.047284417459389494,0.0582341164318855,0.033560188868544394,0.04398659767188367
2009-09,313,0.4,0.04183543718869057,0.0278176274977339,0.049163008063250926,0.03572334572311986,0.04103543718869057
2009-10,310,0.2,-0.032694182243250824,-0.006451861747972343,-0.03174537785510281,-0.019762000526814205,-0.03309418224325082
2009-11,291,0.7,0.04930276547412615,0.06301952756377625,0.059594958977498266,0.057364061453727855,0.047902765474126155
2009-12,305,0.1,0.06067872460279631,0.06754995760016672,0.04347835692391988,0.017770570919338313,0.06047872460279631
2010-01,308,0.1,-0.03631157190866803,-0.0343434621383598,-0.02859750454517143,-0.03697424569226182,-0.03651157190866803
2010-02,229,0.7,0.05292398771766379,0.02891360969993868,0.041339039948710146,0.028513689046546498,0.05152398771766379
2010-03,310,0.4,0.054577641208855575,0.048225211004184254,0.07202106767653316,0.05879642554549758,0.05377764120885557
2010-04,313,0.1,0.007121157244918863,0.009077864820457549,0.03708279877158605,0.014759230482012775,0.006921157244918864
2010-05,304,0.5,-0.05575271663239095,-0.09865766876243395,-0.07512738792430457,-0.08197584207319075,-0.056752716632390954
2010-06,291,0.3,-0.04060838029798567,-0.056955451437704294,-0.0591909530155913,-0.053882442239838624,-0.041208380297985674
2010-07,290,0.1,0.058884615946277974,0.05862031719925633,0.0724161064009133,0.06877784957463495,0.058684615946277975
2010-08,252,0.5,-0.05900991914381913,-0.0526378969861792,-0.04595289867872448,-0.04744918363260464,-0.06000991914381913
2010-09,244,0.2,0.09223691898735376,0.09467203940182643,0.10502599337370426,0.08755110305113512,0.09183691898735376
2010-10,231,0.2,0.0394647578373683,0.03384434462549024,0.03552796263344889,0.03685599403554063,0.039064757837368305
2010-11,220,0.7,0.038238101003032585,-0.0035033767748035793,0.002872640505873482,-0.002290249746576767,0.036838101003032586
2010-12,227,0.4,0.03602178637933536,0.050376278340367994,0.07098620205291656,0.06530004034715531,0.03522178637933536
2011-01,231,0.1,0.02871210890823327,0.01822125213114654,0.027090994881508058,0.022645574359138942,0.02851210890823327
2011-02,196,0.4,0.0397256797271213,0.04464904383288089,0.033156061140539976,0.031956563728093634,0.0389256797271213
2011-03,295,0.4,0.03557926303815967,0.0037568860823795737,0.007951733558158872,-0.0010473129391666003,0.03477926303815967
2011-04,306,0.0,0.020906689647957378,0.01949243054042198,0.02867848488446038,0.028495380666535786,0.020906689647957378
2011-05,314,0.8,-0.0039734365746440185,-0.009645806817973812,-0.004295346587253966,-0.013500952895223017,-0.005573436574644018
2011-06,319,0.4,0.005560387277601153,-0.006882437932774199,-0.01868923565256788,-0.018257461652479656,0.004760387277601153
2011-07,318,0.0,-0.021195997701192494,-0.052860581093504985,-0.034782214762595604,-0.02147442530666699,-0.021195997701192494
2011-08,318,0.6,-0.06330328052108354,-0.03767183674987806,-0.0612560548483609,-0.056791107952329334,-0.06450328052108355
2011-09,339,0.4,-0.14160164510773451,-0.05640042350801239,-0.09022234516882442,-0.07176198808089651,-0.1424016451077345
2011-10,340,0.0,0.13231412017441396,0.15130907046993122,0.13435609002902638,0.10772303843744124,0.13231412017441396
2011-11,329,0.7,0.00017647904449162865,-0.008831279673069825,-0.004924418870288073,-0.005058715107011502,-0.0012235209555083713
2011-12,339,0.5,-0.0036347476352469265,0.007594881806193621,0.005154997769387615,0.008532763666635912,-0.004634747635246926
2012-01,336,0.1,0.11018171958276146,0.07205244678418561,0.06425087521269661,0.04358306270498513,0.10998171958276146
2012-02,257,0.5,0.05460318094482686,0.05093531733968408,0.04154321174603303,0.040589463768117895,0.053603180944826856
2012-03,341,0.6,0.05546761282293522,0.05530492503005239,0.02656577080964538,0.031332314531441474,0.05426761282293522
2012-04,343,0.1,-0.024917900888428046,-0.0032626257238347776,-0.0042544468406952385,-0.007497452372496438,-0.025117900888428045
2012-05,343,0.5,-0.06717505652424673,-0.05692699835217765,-0.06684692912600972,-0.06265072571454355,-0.06817505652424673
2012-06,357,0.5,0.07319811561028391,0.047894923009226,0.03685235483378892,0.039554982228336755,0.07219811561028391
2012-07,356,0.0,0.013924742153331037,-0.005976746759321638,0.004780462042745761,0.012597574204788131,0.013924742153331037
2012-08,349,0.5,0.04771869760737997,0.03612965538801673,0.030036428870762546,0.019763369506086148,0.04671869760737997
2012-09,357,0.3,0.05129545963780398,0.04036085413138633,0.024368691431077814,0.024236153617775313,0.050695459637803975
2012-10,358,0.2,0.017441997969634925,-0.011183001065945919,-0.004031392231668601,-0.01978940971629428,0.017041997969634924
