ym,n_uni,turnover,top10,bot10,uni_ew,spx,top10_net
2009-02,129,1.0,-0.05883478961683861,-0.09226924035855866,-0.12428382910153243,-0.10993119762019954,-0.060834789616838615
2009-03,277,0.4,0.1239529696148848,0.12806825965709437,0.11285088695187857,0.08540446199532203,0.12315296961488481
2009-04,296,0.1,0.3722628049207316,0.07067741608000097,0.19822163935507167,0.09392507914826331,0.3720628049207316
2009-05,288,0.5,0.004877505803746418,0.029840048765557448,0.06412220278992498,0.05308144638516654,0.0038775058037464182
2009-06,294,0.4,0.02263751356100725,-0.03372220797466898,-0.006210190894009041,0.00019582726560951613,0.02183751356100725
2009-07,298,0.1,0.08684998373991643,0.10365300782834337,0.09917402955422487,0.07414172714778444,0.08664998373991642
2009-08,293,0.6,0.10682629771240562,0.04301863685584197,0.0582341164318855,0.033560188868544394,0.10562629771240561
2009-09,313,0.4,0.05183949692109616,0.013336222531254948,0.049163008063250926,0.03572334572311986,0.05103949692109616
2009-10,310,0.1,-0.019415130756903286,0.003778975364802406,-0.03174537785510281,-0.019762000526814205,-0.019615130756903285
2009-11,291,0.7,0.044227524963240825,0.06354797687554943,0.059594958977498266,0.057364061453727855,0.042827524963240826
2009-12,305,0.1,0.1027483628472607,0.06431647703172891,0.04347835692391988,0.017770570919338313,0.1025483628472607
2010-01,308,0.1,-0.04382090298566068,-0.06828527532077976,-0.02859750454517143,-0.03697424569226182,-0.04402090298566068
2010-02,229,0.8,0.07405878318056487,0.03168934977007638,0.041339039948710146,0.028513689046546498,0.07245878318056487
2010-03,310,0.5,0.07606256927805566,0.060955455384283895,0.07202106767653316,0.05879642554549758,0.07506256927805566
2010-04,313,0.1,0.03393928413510576,0.03481760509313535,0.03708279877158605,0.014759230482012775,0.03373928413510576
2010-05,304,0.6,-0.06638382035858473,-0.09087401894850076,-0.07512738792430457,-0.08197584207319075,-0.06758382035858473
2010-06,291,0.2,-0.06750792667665237,-0.056955451437704294,-0.0591909530155913,-0.053882442239838624,-0.06790792667665237
2010-07,290,0.2,0.08663782219572835,0.05862031719925633,0.0724161064009133,0.06877784957463495,0.08623782219572836
2010-08,252,0.6,-0.08292730707051969,-0.05235931415247873,-0.04595289867872448,-0.04744918363260464,-0.0841273070705197
2010-09,244,0.1,0.10352036876561088,0.12087462243527818,0.10502599337370426,0.08755110305113512,0.10332036876561088
2010-10,231,0.0,0.05093594772504094,0.03418367640935373,0.03552796263344889,0.03685599403554063,0.05093594772504094
2010-11,220,0.7,-0.008707325074910987,-0.0035033767748035793,0.002872640505873482,-0.002290249746576767,-0.010107325074910987
2010-12,227,0.4,0.045658009681756186,0.050376278340367994,0.07098620205291656,0.06530004034715531,0.044858009681756184
2011-01,231,0.1,0.05717204981682259,0.01822125213114654,0.027090994881508058,0.022645574359138942,0.05697204981682259
2011-02,196,0.5,0.04479620492279248,0.03843599835379543,0.033156061140539976,0.031956563728093634,0.04379620492279248
2011-03,295,0.5,0.019886103216582584,0.009341659973886885,0.007951733558158872,-0.0010473129391666003,0.018886103216582583
2011-04,306,0.0,0.07238477841310573,0.03853045943175263,0.02867848488446038,0.028495380666535786,0.07238477841310573
2011-05,314,0.5,-0.0013432821370002678,-0.003727371086250797,-0.004295346587253966,-0.013500952895223017,-0.002343282137000268
2011-06,319,0.2,0.0038863948492487534,-0.013524296550008919,-0.01868923565256788,-0.018257461652479656,0.003486394849248753
2011-07,318,0.1,-0.007466671969659555,-0.055871493430499686,-0.034782214762595604,-0.02147442530666699,-0.007666671969659555
2011-08,318,0.7,-0.07476993006439903,-0.040210996719905266,-0.0612560548483609,-0.056791107952329334,-0.07616993006439902
2011-09,339,0.3,-0.14632680495761724,-0.06114466707031878,-0.09022234516882442,-0.07176198808089651,-0.14692680495761723
2011-10,340,0.2,0.146162774270653,0.1614521419588995,0.13435609002902638,0.10772303843744124,0.14576277427065298
2011-11,329,0.6,-0.0355331151310187,-0.0013777398460615097,-0.004924418870288073,-0.005058715107011502,-0.0367331151310187
2011-12,339,0.5,-0.001732685924879851,0.01048559468979483,0.005154997769387615,0.008532763666635912,-0.002732685924879851
